x,y,z
0.134268,114.9,-3.997221
-11.47015,115.00001,-3.997187
-11.137626,114.8,-3.990419
5.233911,124.3,-3.984367
-10.80615,114.600006,-3.983645
-10.475724,114.4,-3.976867
-10.155233,114.3,-3.97356
-0.178275,114.200005,-3.972869
-9.835251,114.200005,-3.970248
-9.515775,114.100006,-3.966931
4.871136,123.70001,-3.965214
-9.18874,113.90001,-3.960132
-0.487854,113.700005,-3.955469
-8.854967,113.600006,-3.949851
-8.537839,113.50001,-3.946519
4.511617,123.100006,-3.946055
-0.795403,113.3,-3.941542
-8.213974,113.3,-3.939704
-7.898144,113.20001,-3.936362
-7.576125,113.0,-3.929536
-1.100765,112.90001,-3.92761
-7.255168,112.8,-3.922706
4.145177,122.2,-3.917273
-6.935272,112.600006,-3.915871
-1.403939,112.5,-3.913673
-6.622326,112.5,-3.912507
-6.309902,112.40001,-3.909139
-5.992656,112.20001,-3.902287
-1.704924,112.100006,-3.899731
-5.671408,111.90001,-3.891952
3.786752,121.40001,-3.891691
-5.361367,111.8,-3.888568
-4.747107,111.70001,-3.885262
-5.051849,111.70001,-3.885179
-2.001924,111.600006,-3.882305
-4.430415,111.40001,-3.874906
-2.298254,111.20001,-3.868353
-4.119047,111.20001,-3.868022
3.432678,120.600006,-3.866102
-3.808753,111.0,-3.861133
-3.502694,110.90001,-3.857717
-2.592391,110.8,-3.854396
-3.197166,110.8,-3.854296
-2.892172,110.7,-3.85087
3.088103,120.00001,-3.84692
-19.779356,119.9,-3.835186
2.746791,119.4,-3.827731
-19.373014,119.4,-3.819454
2.408743,118.80001,-3.808537
-18.969328,118.9,-3.803716
-18.615343,118.700005,-3.797572
2.075715,118.30001,-3.792544
-18.262388,118.50001,-3.791424
-17.910461,118.30001,-3.785271
-17.559566,118.10001,-3.779116
1.743926,117.700005,-3.773338
-17.1951,117.80001,-3.769755
-16.86086,117.700005,-3.766792
-16.513062,117.50001,-3.760624
1.417824,117.30001,-3.76054
-16.180073,117.4,-3.757653
-15.847573,117.30001,-3.754678
-15.489088,117.00001,-3.745297
1.092963,116.80001,-3.744531
-15.14515,116.80001,-3.739113
-14.80225,116.6,-3.732925
-14.472806,116.50001,-3.729934
-14.143859,116.4,-3.726939
0.770165,116.200005,-3.72531
-13.803527,116.200005,-3.720738
6.722925,126.8,-3.718143
-13.464238,116.00001,-3.714533
-13.125986,115.80001,-3.708323
0.450639,115.6,-3.706083
-12.788776,115.6,-3.702108
6.346871,126.200005,-3.700644
-12.463401,115.50001,-3.699093
-12.138525,115.4,-3.696072
-11.803904,115.200005,-3.689844
0.134387,115.00001,-3.686853
-11.480303,115.1,-3.686815
-11.147502,114.9,-3.680578
5.969307,125.50001,-3.680205
-10.81575,114.700005,-3.674336
-10.485046,114.50001,-3.66809
-0.17859,114.4,-3.667616
-10.164279,114.4,-3.665042
5.595538,124.8,-3.659761
-9.835406,114.200005,-3.658786
-9.515925,114.100006,-3.65573
-0.48872,113.90001,-3.651581
-9.188887,113.90001,-3.649465
-8.862904,113.700005,-3.643195
-0.79682,113.50001,-3.638747
-8.537976,113.50001,-3.63692
5.221357,124.0,-3.636379
-8.214106,113.3,-3.63064
-7.898271,113.20001,-3.62756
-1.102733,113.100006,-3.625908
4.863334,123.5,-3.621789
-7.576248,113.0,-3.62127
-7.255286,112.8,-3.614976
-1.406458,112.70001,-3.613065
-6.941545,112.70001,-3.611882
-6.628322,112.600006,-3.608783
4.50802,123.0,-3.607193
-6.315618,112.5,-3.605679
-5.998094,112.3,-3.599364
-1.706473,112.20001,-3.59701
-5.681638,112.100006,-3.593046
-5.36625,111.90001,-3.586722
4.14524,122.2,-3.583794
