x,y,z
41.075990,83.100003,-9.624530
40.927023,82.800007,-9.365280
37.171635,82.000005,-9.267992
36.633235,81.300002,-9.188635
7.769068,107.800007,-9.038046
8.062763,107.800007,-9.037739
40.333223,81.600004,-9.008310
36.990061,81.600004,-9.001790
7.412931,106.900001,-8.962883
8.278912,106.800008,-8.953586
36.497840,81.000006,-8.935373
6.804749,106.500006,-8.929900
39.666954,80.700004,-8.908333
7.074998,106.200004,-8.904473
36.008984,80.400002,-8.868980
6.649313,108.700001,-8.818512
6.932802,108.500004,-8.802029
41.505221,81.700003,-8.801330
7.819815,108.500004,-8.801192
41.280225,81.700003,-8.800573
6.335486,108.400011,-8.794422
7.215177,108.300006,-8.785536
7.510302,108.300006,-8.785257
8.092989,108.200002,-8.776557
6.012125,107.900000,-8.754091
5.712666,107.800007,-8.746202
48.499554,85.200006,-8.740976
48.259604,85.200006,-8.739459
5.408704,107.600009,-8.730188
39.839140,82.900006,-8.699632
39.612514,82.900006,-8.699173
32.250339,80.800003,-8.694293
31.992573,80.700004,-8.683705
36.317393,80.600005,-8.672979
5.072533,106.700003,-8.657366
8.271474,106.700003,-8.654582
39.690039,80.300003,-8.647092
41.758460,82.200003,-8.632233
41.532117,82.200003,-8.631497
42.613822,82.100004,-8.624981
42.824531,84.300005,-8.624124
39.005953,82.100004,-8.614798
40.185472,84.100002,-8.597227
43.135232,84.000003,-8.594979
42.903581,84.000003,-8.594190
39.661977,79.800004,-8.593871
42.440858,84.000003,-8.592705
42.232093,81.800002,-8.592608
35.740072,79.800004,-8.586702
43.547222,83.900005,-8.586415
43.315449,83.900005,-8.585566
31.262854,77.800006,-8.581924
39.174831,79.700005,-8.581888
48.896497,85.900003,-8.579039
5.797675,109.400010,-8.577935
6.394172,109.400010,-8.577482
6.692385,109.400010,-8.577242
6.090362,109.300005,-8.569873
0.699560,105.599999,-8.569775
40.271178,83.800006,-8.567005
39.813215,83.800006,-8.566140
36.083215,79.600006,-8.565588
5.489337,109.200001,-8.562461
0.986731,105.500007,-8.561627
41.627449,81.500006,-8.559483
40.954208,81.500006,-8.557293
42.008781,83.600003,-8.551092
34.499630,77.500004,-8.548906
48.484689,85.600007,-8.547600
40.680179,81.400001,-8.546123
6.965012,109.000003,-8.545629
43.822163,85.800004,-8.545629
39.340949,81.400001,-8.542696
1.270936,105.200005,-8.537237
1.844943,105.200005,-8.537116
2.131936,105.200005,-8.537038
43.534985,85.700005,-8.534921
1.556462,105.100000,-8.529066
43.956050,85.600007,-8.526486
7.242095,108.700001,-8.521847
41.629058,83.300006,-8.519745
38.663068,79.100001,-8.516721
39.348254,83.300006,-8.514637
44.089025,85.400003,-8.507369
5.153546,108.400011,-8.499931
38.262185,81.000006,-8.498978
49.826998,85.000002,-8.498812
7.517517,108.400011,-8.498058
0.407944,104.700005,-8.496758
3.831698,104.600000,-8.487656
47.849429,84.900004,-8.476274
36.407307,80.800003,-8.475694
42.995927,85.100001,-8.474454
49.243844,82.400006,-8.470650
44.117302,85.000002,-8.468356
43.153048,82.700002,-8.464476
40.058962,80.600005,-8.461497
49.833015,84.600002,-8.460565
7.769652,107.800007,-8.450742
48.337832,84.500003,-8.440716
42.569008,80.300003,-8.439562
30.869168,78.400004,-8.436395
42.560855,84.700006,-8.433942
36.445636,80.400002,-8.433941
38.745272,82.500005,-8.432499
42.738622,80.200005,-8.430053
40.009192,84.700006,-8.428285
37.712416,80.300003,-8.425162
40.423962,84.600002,-8.419125
40.192887,84.600002,-8.418716
