x,y,z
7.897906,105.599999,-9.140896
8.177817,105.500007,-9.131920
7.581388,105.200005,-9.106581
7.273955,104.900002,-9.080908
7.987969,106.800008,-8.953901
8.271159,106.700003,-8.945203
7.668170,106.400001,-8.920669
7.364391,106.200004,-8.904193
6.772801,106.000006,-8.887976
7.061674,106.000006,-8.887704
6.477784,105.900002,-8.879849
8.497606,105.900002,-8.877813
6.165756,105.500007,-8.846556
6.569790,107.400000,-8.713046
6.265352,107.200003,-8.697066
6.849737,107.200003,-8.696567
7.135230,107.100010,-8.688190
7.427086,107.100010,-8.687914
7.718914,107.100010,-8.687629
7.995754,106.900001,-8.671109
5.950835,106.800008,-8.664846
5.649075,106.600010,-8.648843
8.263722,106.600010,-8.646472
5.348384,106.400001,-8.632825
5.053517,106.300008,-8.624911
8.473855,105.599999,-8.565047
4.727807,105.500007,-8.560189
31.844661,75.200003,-8.498146
32.981062,76.900005,-8.482123
5.712882,107.800007,-8.452480
33.029646,78.500003,-8.446069
5.413935,107.700002,-8.444846
6.588389,107.700002,-8.443957
5.995636,107.600009,-8.436581
6.288966,107.600009,-8.436354
32.775450,78.400004,-8.435341
5.106004,107.400000,-8.421517
6.856383,107.300007,-8.412348
7.142158,107.200003,-8.404251
33.495679,78.100002,-8.403049
7.406557,106.800008,-8.372626
4.772801,106.500006,-8.351129
7.668747,106.400001,-8.340992
8.520868,102.700007,-8.329521
33.324203,79.200006,-8.306988
7.921251,105.900002,-8.301513
33.189374,76.900005,-8.273979
31.759965,75.000006,-8.272512
8.178752,105.500007,-8.269865
4.436070,105.400002,-8.265044
2.129990,105.100000,-8.242503
48.537123,82.400006,-8.240551
33.242103,78.500003,-8.233549
48.653337,82.200003,-8.222290
1.552078,104.800010,-8.219114
1.264944,104.700005,-8.211324
1.836244,104.700005,-8.211207
2.402916,104.500008,-8.195363
32.650077,78.100002,-8.191647
8.385894,104.500008,-8.191178
31.622100,74.200004,-8.184282
33.241528,78.000003,-8.181107
4.101386,104.200006,-8.171103
33.409873,77.900004,-8.170639
33.331212,75.800002,-8.155869
2.669987,103.800011,-8.140371
30.684540,72.000003,-8.136538
6.271660,107.300007,-8.120454
5.681292,107.200003,-8.113314
5.973564,107.200003,-8.113105
48.174018,81.000006,-8.104014
5.378944,107.000005,-8.098376
6.545804,107.000005,-8.097521
43.635166,85.900003,-8.088940
5.077665,106.800008,-8.083427
7.697854,106.800008,-8.081376
47.364956,80.800003,-8.078870
3.773231,103.000009,-8.077150
7.109103,106.700003,-8.074332
7.399889,106.700003,-8.074076
6.805511,106.500006,-8.059446
29.203704,76.800001,-8.057445
43.667465,85.500002,-8.051969
7.958936,106.400001,-8.050833
4.755050,106.100011,-8.030623
43.661898,82.800007,-8.027059
31.413463,71.000004,-8.024011
8.217806,106.000006,-8.020282
42.994577,85.100001,-8.012943
42.174533,80.400002,-8.011734
43.785399,82.600003,-8.008573
33.581403,78.300005,-8.000621
30.760619,69.100004,-7.996543
3.454999,101.900005,-7.991023
33.115077,78.200006,-7.990392
45.538065,80.000001,-7.989792
43.222782,82.400006,-7.987409
45.839012,84.700006,-7.986172
48.542365,79.700005,-7.983236
29.698294,78.100002,-7.982421
45.256153,79.900002,-7.978425
36.731109,76.000005,-7.975982
31.988505,72.300005,-7.975160
39.589447,80.100006,-7.974134
42.033821,82.300001,-7.973814
32.800895,76.000005,-7.971393
32.819313,78.000003,-7.969977
8.429911,101.600003,-7.963563
43.389678,84.500003,-7.958511
4.423606,105.100000,-7.955097
8.434343,105.100000,-7.951894
31.294152,73.900002,-7.951128
33.156288,77.800006,-7.949517
28.989512,75.700003,-7.941794
30.652794,73.800004,-7.940456
45.802969,84.200007,-7.940078
30.560118,79.800004,-7.939902
42.733908,81.900007,-7.938106
2.695809,104.800010,-7.933164
29.863581,71.900004,-7.930656
41.314557,79.600006,-7.930367
32.563549,73.600006,-7.919273
2.405304,104.600000,-7.918116
30.230922,79.500002,-7.910304
30.095145,75.400001,-7.909145
44.473597,83.900005,-7.906877
2.115882,104.400003,-7.903060
45.118746,83.800006,-7.900300
44.507906,81.400001,-7.898233
44.226477,81.300002,-7.887449
4.101537,104.200006,-7.887130
41.273725,79.100001,-7.881357
30.543879,79.200006,-7.879966
44.546503,83.600003,-7.879520
42.196101,81.300002,-7.879152
33.275595,77.100003,-7.878038
42.006844,83.600003,-7.871079
40.784928,79.000002,-7.869815
29.487592,77.000004,-7.869746
30.745789,75.000006,-7.866699
44.515359,81.000006,-7.860532
29.034707,76.900005,-7.860030
43.977404,83.400005,-7.858874
43.054944,83.400005,-7.855644
43.162003,81.000006,-7.854360
43.783489,80.900002,-7.847600
32.106653,76.800001,-7.847400
45.491004,83.200002,-7.846848
29.250070,74.800003,-7.846728
30.017436,74.700004,-7.835574
41.577235,83.200002,-7.832823
31.025437,72.800004,-7.832780
36.258683,74.600005,-7.829516
30.574268,76.600003,-7.827678
31.573737,72.700006,-7.822145
30.524445,78.600001,-7.820047
33.710042,78.600001,-7.818491
31.360796,76.500005,-7.816957
28.931791,74.500006,-7.815459
30.742180,74.500006,-7.814172
1.528439,103.200006,-7.812352
47.298482,80.300003,-7.811715
8.562972,103.200006,-7.807846
39.972216,76.200002,-7.800020
33.836627,78.400004,-7.798625
29.631028,76.300001,-7.797754
1.806496,103.000009,-7.797150
30.660519,76.300001,-7.796873
2.930491,103.000009,-7.796806
3.773370,103.000009,-7.796442
33.137092,76.300001,-7.796345
28.052780,74.300003,-7.795411
43.379301,82.700002,-7.792068
1.243244,102.900004,-7.789692
34.217882,78.300005,-7.788787
45.443845,77.900004,-7.787341
41.100302,82.700002,-7.785185
43.098342,82.600003,-7.781831
42.870048,82.600003,-7.781047
40.104759,78.100002,-7.779422
33.962205,78.200006,-7.778776
44.189477,82.500005,-7.776777
41.403690,80.200005,-7.771786
36.938667,76.000005,-7.770480
7.676498,106.500006,-7.768488
38.337618,78.000003,-7.764553
45.479766,79.900002,-7.762402
8.200716,95.700002,-7.761482
43.309268,84.800005,-7.756075
33.169132,75.900006,-7.755541
6.213428,106.300008,-7.755091
30.675250,80.100006,-7.752918
44.390717,77.600002,-7.751474
32.094833,73.900002,-7.751184
45.783865,84.600002,-7.746989
7.365469,106.200004,-7.746861
29.641312,75.800002,-7.746451
7.944251,106.200004,-7.746339
35.264215,73.800004,-7.744258
45.141536,79.700005,-7.741638
29.374781,77.800006,-7.741412
5.623193,106.100011,-7.740910
5.912478,106.100011,-7.740710
42.966071,79.800004,-7.739899
43.440309,84.600002,-7.738474
5.328861,106.000006,-7.733804
30.814070,79.900002,-7.733324
32.407686,73.700005,-7.730369
30.384502,77.700001,-7.730298
