x,y,z
-16.052498,108.000004,-7.867067
-15.744723,107.900000,-7.860268
-16.224550,107.200003,-7.808304
-15.337206,107.100010,-7.802467
-2.342211,89.700001,-7.767842
-16.392210,106.400001,-7.749543
-16.633868,106.100011,-7.727198
-16.216482,109.100008,-7.650275
-14.737296,104.900002,-7.642651
-15.891124,108.900011,-7.636723
-16.421793,108.500004,-7.607725
-15.495199,108.200002,-7.588098
-16.623797,107.900000,-7.565174
-16.838172,107.400000,-7.529634
-17.033836,106.800008,-7.487082
-14.149292,102.700007,-7.482811
-14.976585,106.600010,-7.476342
-3.280208,88.600004,-7.430744
-3.635871,85.600007,-7.412069
-14.480390,105.100000,-7.371578
-16.966666,104.600000,-7.332372
-16.112901,108.400011,-7.306150
-15.789436,108.200002,-7.293122
-16.346586,108.000004,-7.278731
-13.992295,103.600001,-7.266795
-3.792437,83.900005,-7.264716
-16.578051,107.600009,-7.251313
-15.366761,107.300007,-7.232901
-16.760255,106.900001,-7.203674
-3.398610,85.500002,-7.170621
-14.934875,106.300008,-7.165927
-16.906719,106.000006,-7.142559
-13.472605,101.800001,-7.140949
-16.917472,109.800005,-7.100733
-14.508374,105.300009,-7.098937
-16.574077,109.500003,-7.081783
-17.168365,109.500003,-7.080874
-6.481225,100.800002,-7.078675
-6.200297,100.700009,-7.071864
-13.121261,93.400002,-7.059013
-14.127776,104.600000,-7.052160
-5.902237,100.300002,-7.043973
-16.187672,108.900011,-7.043423
-3.559559,83.800006,-7.027911
-17.321883,108.600008,-7.022217
-1.957315,83.700001,-7.020293
-5.660777,96.200007,-7.018220
-12.962653,100.000000,-7.015084
-5.595111,99.700004,-7.002027
-6.682245,99.700004,-7.001211
-5.904552,95.900005,-6.996135
-15.775283,108.100009,-6.992115
-5.376063,95.800006,-6.989229
-12.227804,92.400002,-6.984656
-2.480367,86.000001,-6.978690
-13.698000,103.500009,-6.978402
-5.301915,99.300003,-6.974117
-5.093509,95.400006,-6.960227
-15.395837,107.500005,-6.953733
